text	question	A	B	C	D	E	answer	reason
No soy un hombre que sabe. He sido un hombre que busca y lo soy aún, pero no busco ya en las estrellas ni en los libros: comienzo a escuchar las enseñanzas que mi sangre murmura en mí. Mi historia no es agradable, no es suave ni agradable como las historias inventadas; sabe a insensatez y a confusión, a locura y a sueño, como la vida de todos los hombres que no quieren mentirse a sí mismos. La vida de todo hombre es un camino hacia sí mismo, la tentativa de un camino, la huella de un sendero. Ningún hombre ha sido nunca por completo él mismo: pero todos aspiran llegar a serlo, oscuramente unos, más claramente otros, cada uno como puede. Todos llevan consigo, hasta el fin, viscosidades y cáscaras de huevo de un mundo primordial. Alguno no llega jamás a ser hombre, y sigue siendo rana, hormiga o ardilla. Otro es hombre de medio cuerpo arriba, y el resto, pez. Pero cada uno es un impulso de la Naturaleza hacia el hombre. Todos tenemos orígenes comunes: las madres; todos venimos de la misma sima, pero cada uno —tentativa e impulso desde lo hondo— tiende a su propio fin. Podemos comprendernos unos a otros, pero sólo a sí mismo puede interpretarse cada uno. HESSE, Hermann. Demián	Los conceptos oscuro y claro son utilizados por el autor con el propósito de	Mostrar el absurdo de la existencia humana.	Demostrar la máxima aspiración del hombre.	Explicar que hay hombres que son como peces.	Diferenciar la intensidad de los fracasos.	Explicar el nivel con que nos interpretamos.	E	Los conceptos oscuro y claro son utilizados por el autor con el propósito de: explicar el nivel con que nos interpretamos. Al buscarse a sí mismos, los hombres hallan, a veces, una imagen clara y otras, una imagen oscura. Es decir, en ocasiones logran comprenderse ellos mismos y en otras no pueden descifrar su esencia. Cada concepto refleja, pues, el grado en que podemos interpretar nuestra propia existencia. 
No soy un hombre que sabe. He sido un hombre que busca y lo soy aún, pero no busco ya en las estrellas ni en los libros: comienzo a escuchar las enseñanzas que mi sangre murmura en mí. Mi historia no es agradable, no es suave ni agradable como las historias inventadas; sabe a insensatez y a confusión, a locura y a sueño, como la vida de todos los hombres que no quieren mentirse a sí mismos. La vida de todo hombre es un camino hacia sí mismo, la tentativa de un camino, la huella de un sendero. Ningún hombre ha sido nunca por completo él mismo: pero todos aspiran llegar a serlo, oscuramente unos, más claramente otros, cada uno como puede. Todos llevan consigo, hasta el fin, viscosidades y cáscaras de huevo de un mundo primordial. Alguno no llega jamás a ser hombre, y sigue siendo rana, hormiga o ardilla. Otro es hombre de medio cuerpo arriba, y el resto, pez. Pero cada uno es un impulso de la Naturaleza hacia el hombre. Todos tenemos orígenes comunes: las madres; todos venimos de la misma sima, pero cada uno —tentativa e impulso desde lo hondo— tiende a su propio fin. Podemos comprendernos unos a otros, pero sólo a sí mismo puede interpretarse cada uno. HESSE, Hermann. Demián	A partir de la tesis del autor se puede concluir que	La naturaleza presenta obstáculos al ser humano.	Los hombres tenemos orígenes comunes.	El ser humano es un ser perfectible.	La inmoralidad es parte de la humanidad.	Los hombres no son sinceros consigo mismos.	C	"A partir de la tesis-del autor, se puede concluir que: el ser humano es un ser perfectible. Cada uno busca ser él mismo, y aunque no lo consiga totalmente, siempre aspira a dejar de ser ""rana"", ""hormiga"" o ""ardilla"". Es decir, siempre se aspira a ser mejor que antes, superando diversas etapas hasta conseguir la autorrealización. "
No soy un hombre que sabe. He sido un hombre que busca y lo soy aún, pero no busco ya en las estrellas ni en los libros: comienzo a escuchar las enseñanzas que mi sangre murmura en mí. Mi historia no es agradable, no es suave ni agradable como las historias inventadas; sabe a insensatez y a confusión, a locura y a sueño, como la vida de todos los hombres que no quieren mentirse a sí mismos. La vida de todo hombre es un camino hacia sí mismo, la tentativa de un camino, la huella de un sendero. Ningún hombre ha sido nunca por completo él mismo: pero todos aspiran llegar a serlo, oscuramente unos, más claramente otros, cada uno como puede. Todos llevan consigo, hasta el fin, viscosidades y cáscaras de huevo de un mundo primordial. Alguno no llega jamás a ser hombre, y sigue siendo rana, hormiga o ardilla. Otro es hombre de medio cuerpo arriba, y el resto, pez. Pero cada uno es un impulso de la Naturaleza hacia el hombre. Todos tenemos orígenes comunes: las madres; todos venimos de la misma sima, pero cada uno —tentativa e impulso desde lo hondo— tiende a su propio fin. Podemos comprendernos unos a otros, pero sólo a sí mismo puede interpretarse cada uno. HESSE, Hermann. Demián	La rana, la ardilla y la hormiga simbolizan	Un tránsito hacia el autoconocimiento y condición humana.	Impedimentos para poder vivir historias llenas de insensateces.	Tres alternativas de quienes se conocen a si mismos.	Ciertas maneras de cuestionar la esencia de la vida humana.	Una vida llena de oportunidades y de felicidad asegurada.	A	La rana, la ardilla y la hormiga simbolizan: un tránsito hacia el autoconocimiento y condición humana. Ser rana, ardilla, hormiga significa que la persona se halla en ese impulso por llegar a interpretarse mejor y poder realizarse como ser humano. Por tanto, los tres son estadías conducentes hacia la autocomprensión y la autorrealización. 
"El hombre antiguo derramaba un poco de su mejor vino en homenaje a los dioses ausentes, sin esperar gran cosa de ellos. Arte y ciencia no necesitan favor ni entusiasmo excesivo y popular. Sólo de cuando en cuando un poco de fina atención, despierta y crítica. Hay que hacer, sin embargo, excepción para una parte de la ciencia: la experimental. Dejemos a un lado la cuestión del rango que en la jerarquía del conocimiento le corresponde. No la recomendamos como saber, sino como utilidad. En ella está la clave de la técnica y la técnica interesa a la vida de todo el mundo. Es razonable que se exija a todo el mundo su colaboración en el progreso técnico, que no es problemático ni milagroso. No hay duda que sí se duplican los laboratorios y se dotan mejor, si se promete riqueza a los investigadores puede pronosticarse, casi a fecha fija, la curación del cáncer y la tuberculosis, la invención de nuevas formas de energía que disminuyan el esfuerzo, etc. He aquí un tipo de ciencia - la técnica hacia la cual es honesto movilizar el entusiasmo de las muchedumbres. No se le defrauda y se le invita a sacrificarse por lo que, en efecto, les interesa. La técnica de soluciones. Revista ""Conocer"""	La ciencia de tipo experimental constituye principalmente	La única excepción dentro del conocimiento de corte científico	El método que requiere del apoyo incesante de la colectividad	El fundamento de la técnica como medio generador de desarrollo	La base necesaria para la posterior curación de enfermedades	El requisito para romper con la concepción jerarquizante de la ciencia	C	La ciencia de tipo experimental constituye principalmente el fundamento de la técnica como medio generador de desarrollo. Según el texto, la experimentación científica ha dado origen a la técnica, que es el saber útil, el conocimiento cuya misión es dar solución a los problemas actuales del hombre; entonces, es generadora del desarrollo. 
"El hombre antiguo derramaba un poco de su mejor vino en homenaje a los dioses ausentes, sin esperar gran cosa de ellos. Arte y ciencia no necesitan favor ni entusiasmo excesivo y popular. Sólo de cuando en cuando un poco de fina atención, despierta y crítica. Hay que hacer, sin embargo, excepción para una parte de la ciencia: la experimental. Dejemos a un lado la cuestión del rango que en la jerarquía del conocimiento le corresponde. No la recomendamos como saber, sino como utilidad. En ella está la clave de la técnica y la técnica interesa a la vida de todo el mundo. Es razonable que se exija a todo el mundo su colaboración en el progreso técnico, que no es problemático ni milagroso. No hay duda que sí se duplican los laboratorios y se dotan mejor, si se promete riqueza a los investigadores puede pronosticarse, casi a fecha fija, la curación del cáncer y la tuberculosis, la invención de nuevas formas de energía que disminuyan el esfuerzo, etc. He aquí un tipo de ciencia - la técnica hacia la cual es honesto movilizar el entusiasmo de las muchedumbres. No se le defrauda y se le invita a sacrificarse por lo que, en efecto, les interesa. La técnica de soluciones. Revista ""Conocer"""	El entusiasmo popular debe estar orientado hacia	La discusión de temas científicos	El destierro teórico en favor de la práctica	El mejoramiento de laboratorios	La consolidación del saber científico	El apoyo de la ciencia de carácter técnico	E	El entusiasmo popular debe estar orientado hacia el apoyo de la ciencia de carácter técnico. Dado que la técnica es sumamente útil para el hombre, debemos poner toda nuestra voluntad en colaborar con ella. ¿Cómo podemos colaborar con la técnica? ¿Equipándola adecuadamente? Sí, pero no sólo con laboratorios, sino con todos los instrumentos que le permitan ser eficaz. Desde luego, no se trata de omitir cualquier otro tipo de ciencia, sino de dar mayor importancia a la técnica. 
"El hombre antiguo derramaba un poco de su mejor vino en homenaje a los dioses ausentes, sin esperar gran cosa de ellos. Arte y ciencia no necesitan favor ni entusiasmo excesivo y popular. Sólo de cuando en cuando un poco de fina atención, despierta y crítica. Hay que hacer, sin embargo, excepción para una parte de la ciencia: la experimental. Dejemos a un lado la cuestión del rango que en la jerarquía del conocimiento le corresponde. No la recomendamos como saber, sino como utilidad. En ella está la clave de la técnica y la técnica interesa a la vida de todo el mundo. Es razonable que se exija a todo el mundo su colaboración en el progreso técnico, que no es problemático ni milagroso. No hay duda que sí se duplican los laboratorios y se dotan mejor, si se promete riqueza a los investigadores puede pronosticarse, casi a fecha fija, la curación del cáncer y la tuberculosis, la invención de nuevas formas de energía que disminuyan el esfuerzo, etc. He aquí un tipo de ciencia - la técnica hacia la cual es honesto movilizar el entusiasmo de las muchedumbres. No se le defrauda y se le invita a sacrificarse por lo que, en efecto, les interesa. La técnica de soluciones. Revista ""Conocer"""	Un requisito para lograr el bienestar futuro de la humanidad sería	El incentivo económico a los abocados a la ciencia experimental	El incremento de las salas de lectura e investigación científica	El rechazo a toda postura teórica científica imperante	El respaldo a los incipientes avances de la teoría	La curación de enfermedades arraigadas en nuestro planeta	A	"Un requisito para lograr el bienestar futuro de la humanidad sería el incentivo económico a los abocados a la ciencia experimental. La literalidad del texto es, en este caso, elocuente: ""...si se promete riqueza a los investigadores, puede pronosticarse.  (un innegable progreso futuro)"". Es comprensible, ¿verdad? Si orientamos la mayor parte del capital monetario a retribuir a los genios de la técnica, éstos, por reciprocidad, nos deslumbrarán cada vez más con sus novedosos descubrimientos en bien de la humanidad. "
"El hombre antiguo derramaba un poco de su mejor vino en homenaje a los dioses ausentes, sin esperar gran cosa de ellos. Arte y ciencia no necesitan favor ni entusiasmo excesivo y popular. Sólo de cuando en cuando un poco de fina atención, despierta y crítica. Hay que hacer, sin embargo, excepción para una parte de la ciencia: la experimental. Dejemos a un lado la cuestión del rango que en la jerarquía del conocimiento le corresponde. No la recomendamos como saber, sino como utilidad. En ella está la clave de la técnica y la técnica interesa a la vida de todo el mundo. Es razonable que se exija a todo el mundo su colaboración en el progreso técnico, que no es problemático ni milagroso. No hay duda que sí se duplican los laboratorios y se dotan mejor, si se promete riqueza a los investigadores puede pronosticarse, casi a fecha fija, la curación del cáncer y la tuberculosis, la invención de nuevas formas de energía que disminuyan el esfuerzo, etc. He aquí un tipo de ciencia - la técnica hacia la cual es honesto movilizar el entusiasmo de las muchedumbres. No se le defrauda y se le invita a sacrificarse por lo que, en efecto, les interesa. La técnica de soluciones. Revista ""Conocer"""	Una deducción válida a partir del fragmento sería	La multiplicación de centros de investigación garantiza el desarrollo	Sólo la ciencia teórica podría potenciar el progreso	Dentro de la jerarquía científica, la ciencia experimental no ocupa un lugar predominante	A pesar del avance técnico debemos obviar la tecnología	Los científicos no podrán valorar la ciencia experimental	C	Una deducción válida a partir del fragmento sería: Dentro de la jerarquía científica, la ciencia experimental no ocupa un lugar predominante. Así es, el autor lo da a entender: como saber, la ciencia experimental puede no destacar; pero como utilidad, sí, pues atiende a nuestras necesidades elementales. Por otro lado, no porque haya más laboratorios podemos afirmar que existirán más científicos capaces, ¿no es así? Entonces, se descarta la primera alternativa. 
"El hombre antiguo derramaba un poco de su mejor vino en homenaje a los dioses ausentes, sin esperar gran cosa de ellos. Arte y ciencia no necesitan favor ni entusiasmo excesivo y popular. Sólo de cuando en cuando un poco de fina atención, despierta y crítica. Hay que hacer, sin embargo, excepción para una parte de la ciencia: la experimental. Dejemos a un lado la cuestión del rango que en la jerarquía del conocimiento le corresponde. No la recomendamos como saber, sino como utilidad. En ella está la clave de la técnica y la técnica interesa a la vida de todo el mundo. Es razonable que se exija a todo el mundo su colaboración en el progreso técnico, que no es problemático ni milagroso. No hay duda que sí se duplican los laboratorios y se dotan mejor, si se promete riqueza a los investigadores puede pronosticarse, casi a fecha fija, la curación del cáncer y la tuberculosis, la invención de nuevas formas de energía que disminuyan el esfuerzo, etc. He aquí un tipo de ciencia - la técnica hacia la cual es honesto movilizar el entusiasmo de las muchedumbres. No se le defrauda y se le invita a sacrificarse por lo que, en efecto, les interesa. La técnica de soluciones. Revista ""Conocer"""	La postura del autor respecto del saber humano es de corte	Irreligioso	Experimental	Pragmático	Jerarquizante	Racionalista	C	La postura del autor respecto del saber humano es de corte pragmático. Para el autor, el saber en sí no merece la colaboración masiva. En cambio, el conocimiento práctico, la ciencia útil, sí, ya que constituye la base del desarrollo. Por lo tanto, el autor está valorando el conocimiento en la medida en que sea un instrumento eficaz para la actividad humana, es decir, en su dimensión práctica. 
"La lógica ha sido a menudo definido corno la ciencia de las leyes del pensamiento. Pero esta definición, aunque ofrece un indicio acerca de la naturaleza de la lógica, no es exacta. Si ""pensamiento"" es cualquier proceso mental que se produce en la mente de las personas, no todo pensamiento es un objeto de estudio para el lógico. Todo razonamiento es pensamiento, pero no todo pensamiento es razonamiento. Es posible ""pensar"" en un número entre uno y diez sin elaborar ningún razonamiento acerca de él. COPI, Irving Introducción a la lógica"	El mejor resumen del texto es	La definición de la lógica parte del esclarecimiento de los procesos mentales como pensamiento y razonamiento.	Las leyes generales del pensamiento no se pueden comparar a las leyes particulares del razonamiento humano.	La lógica no puede ser definida tornando como referencia las leyes del pensamiento y del razonamiento.	La definición de la lógica debe considerar el concepto de razonamiento ya que es más preciso que el de pensamiento.	El pensamiento posee una carga de significado mucho más amplia que el razonamiento; así, no todo pensamiento es razonamiento.	D	El mejor resumen del texto es la definición de la lógica debe considerar el concepto de razonamiento ya que es más preciso que el de pensamiento. El autor critica la definición general de lógica, pues le parece inexacto utilizar la palabra pensamiento debido a su amplitud. Más preciso sería hablar del estudio del razonamiento, forma de pensamiento afín a la naturaleza de la lógica.
Podemos diseñar la interacción con otras personas, que propondrán situaciones que deberemos imaginar y contrarrestar, y, a la vez, nosotros ofreceremos las nuestras tratando de ganar. Si se tratara de un partido de fútbol, el director técnico rival es el que preparará las jugadas que piensa servirán para contrarrestar las jugadas que él cree que nosotros presentaremos en el transcurso de un partido. Por supuesto, así como tenemos que considerar qué es lo que el otro está pensando, él, a su vez, tiene que considerar lo que nosotros estamos pensando. La teoría de juegos es la ciencia que estudia cómo optimizar ese tipo de toma de decisiones de acuerdo con un comportamiento racional. Uno puede decir que actúa con racionalidad cuando':' piensa cuidadosamente antes de actuar; es consciente de sus objetivos y preferencias; conoce sus limitaciones; sabe cuáles son las restricciones; elige sus acciones de forma calculada para conseguir lo mejor de acuerdo con su criterio. Esta teoría no sostiene que enseñará los secretos de cómo jugar “a la perfección”, ni garantiza que uno nunca va a perder. Ni siquiera tendría sentido pensarlo así, teniendo en cuenta que tanto nosotros como nuestro oponente podríamos estar leyendo el mismo libro, usando las mismas herramientas, y ambos no podemos ganar al mismo tiempo. Pero, más allá de esta obviedad, lo más importante es advertir que la mayoría de estos juegos son bastantes complejos y sutiles, y la mayoría de las situaciones involucra decisiones basadas en la idiosincrasia de las personas o en elementos azarosos; por lo tanto, la teoría de juegos no puede (así como ninguna otra teoría podría hacerlo) ofrecer una receta infalible para el éxito. Lo que sí provee son algunos principios generales para aprender a interactuar con una estrategia. Uno tiene que complementar esas ideas y esos métodos de cálculo con tantos detalles como le sea posible, de manera tal que se deje al azar lo menos posible, y de esa forma diseñar la mejor estrategia, o una muy buena estrategia.	Esencialmente, el texto trata sobre	la teoría de juegos y la toma racional de elecciones.	los principales obstáculos para la teoría de juegos.	los cálculos necesarios para ganar en los juegos.	la necesidad del llamado comportamiento racional.	las estrategias basadas en la forma de actuar enemiga.	A	En esencia, el texto presenta en qué consiste la teoría de juegos que estudia el comportamiento racional.
Podemos diseñar la interacción con otras personas, que propondrán situaciones que deberemos imaginar y contrarrestar, y, a la vez, nosotros ofreceremos las nuestras tratando de ganar. Si se tratara de un partido de fútbol, el director técnico rival es el que preparará las jugadas que piensa servirán para contrarrestar las jugadas que él cree que nosotros presentaremos en el transcurso de un partido. Por supuesto, así como tenemos que considerar qué es lo que el otro está pensando, él, a su vez, tiene que considerar lo que nosotros estamos pensando. La teoría de juegos es la ciencia que estudia cómo optimizar ese tipo de toma de decisiones de acuerdo con un comportamiento racional. Uno puede decir que actúa con racionalidad cuando':' piensa cuidadosamente antes de actuar; es consciente de sus objetivos y preferencias; conoce sus limitaciones; sabe cuáles son las restricciones; elige sus acciones de forma calculada para conseguir lo mejor de acuerdo con su criterio. Esta teoría no sostiene que enseñará los secretos de cómo jugar “a la perfección”, ni garantiza que uno nunca va a perder. Ni siquiera tendría sentido pensarlo así, teniendo en cuenta que tanto nosotros como nuestro oponente podríamos estar leyendo el mismo libro, usando las mismas herramientas, y ambos no podemos ganar al mismo tiempo. Pero, más allá de esta obviedad, lo más importante es advertir que la mayoría de estos juegos son bastantes complejos y sutiles, y la mayoría de las situaciones involucra decisiones basadas en la idiosincrasia de las personas o en elementos azarosos; por lo tanto, la teoría de juegos no puede (así como ninguna otra teoría podría hacerlo) ofrecer una receta infalible para el éxito. Lo que sí provee son algunos principios generales para aprender a interactuar con una estrategia. Uno tiene que complementar esas ideas y esos métodos de cálculo con tantos detalles como le sea posible, de manera tal que se deje al azar lo menos posible, y de esa forma diseñar la mejor estrategia, o una muy buena estrategia.	Se deduce que una correcta definición de IDIOSINCRASIA consideraría que se trata de rasgos	caducos.	enajenados.	propios.	invisibles.	efímeros.	C	La idiosincrasia de las personas implica colocar la mayor cantidad de detalles propios para entender la circunstancia.
Podemos diseñar la interacción con otras personas, que propondrán situaciones que deberemos imaginar y contrarrestar, y, a la vez, nosotros ofreceremos las nuestras tratando de ganar. Si se tratara de un partido de fútbol, el director técnico rival es el que preparará las jugadas que piensa servirán para contrarrestar las jugadas que él cree que nosotros presentaremos en el transcurso de un partido. Por supuesto, así como tenemos que considerar qué es lo que el otro está pensando, él, a su vez, tiene que considerar lo que nosotros estamos pensando. La teoría de juegos es la ciencia que estudia cómo optimizar ese tipo de toma de decisiones de acuerdo con un comportamiento racional. Uno puede decir que actúa con racionalidad cuando':' piensa cuidadosamente antes de actuar; es consciente de sus objetivos y preferencias; conoce sus limitaciones; sabe cuáles son las restricciones; elige sus acciones de forma calculada para conseguir lo mejor de acuerdo con su criterio. Esta teoría no sostiene que enseñará los secretos de cómo jugar “a la perfección”, ni garantiza que uno nunca va a perder. Ni siquiera tendría sentido pensarlo así, teniendo en cuenta que tanto nosotros como nuestro oponente podríamos estar leyendo el mismo libro, usando las mismas herramientas, y ambos no podemos ganar al mismo tiempo. Pero, más allá de esta obviedad, lo más importante es advertir que la mayoría de estos juegos son bastantes complejos y sutiles, y la mayoría de las situaciones involucra decisiones basadas en la idiosincrasia de las personas o en elementos azarosos; por lo tanto, la teoría de juegos no puede (así como ninguna otra teoría podría hacerlo) ofrecer una receta infalible para el éxito. Lo que sí provee son algunos principios generales para aprender a interactuar con una estrategia. Uno tiene que complementar esas ideas y esos métodos de cálculo con tantos detalles como le sea posible, de manera tal que se deje al azar lo menos posible, y de esa forma diseñar la mejor estrategia, o una muy buena estrategia.	Se infiere que una mayor cantidad de información sobre la situación que enfrentamos	generaría inconsistencias en la teoría de juegos.	garantizaría nuestro triunfo de modo arrollador.	eliminaría la posibilidad de actuar racionalmente.	nos otorgaría una mayor probabilidad de éxito.	nos permitiría derrotar a todos los contrincantes.	D	Uno tiene que complementar esas ideas y esos métodos de cálculo con tantos detalles como le sea posible, de manera tal de dejar librado al azar lo menos posible, y de esa forma diseñar la mejor estrategia, o una muy buena estrategia.
Podemos diseñar la interacción con otras personas, que propondrán situaciones que deberemos imaginar y contrarrestar, y, a la vez, nosotros ofreceremos las nuestras tratando de ganar. Si se tratara de un partido de fútbol, el director técnico rival es el que preparará las jugadas que piensa servirán para contrarrestar las jugadas que él cree que nosotros presentaremos en el transcurso de un partido. Por supuesto, así como tenemos que considerar qué es lo que el otro está pensando, él, a su vez, tiene que considerar lo que nosotros estamos pensando. La teoría de juegos es la ciencia que estudia cómo optimizar ese tipo de toma de decisiones de acuerdo con un comportamiento racional. Uno puede decir que actúa con racionalidad cuando':' piensa cuidadosamente antes de actuar; es consciente de sus objetivos y preferencias; conoce sus limitaciones; sabe cuáles son las restricciones; elige sus acciones de forma calculada para conseguir lo mejor de acuerdo con su criterio. Esta teoría no sostiene que enseñará los secretos de cómo jugar “a la perfección”, ni garantiza que uno nunca va a perder. Ni siquiera tendría sentido pensarlo así, teniendo en cuenta que tanto nosotros como nuestro oponente podríamos estar leyendo el mismo libro, usando las mismas herramientas, y ambos no podemos ganar al mismo tiempo. Pero, más allá de esta obviedad, lo más importante es advertir que la mayoría de estos juegos son bastantes complejos y sutiles, y la mayoría de las situaciones involucra decisiones basadas en la idiosincrasia de las personas o en elementos azarosos; por lo tanto, la teoría de juegos no puede (así como ninguna otra teoría podría hacerlo) ofrecer una receta infalible para el éxito. Lo que sí provee son algunos principios generales para aprender a interactuar con una estrategia. Uno tiene que complementar esas ideas y esos métodos de cálculo con tantos detalles como le sea posible, de manera tal que se deje al azar lo menos posible, y de esa forma diseñar la mejor estrategia, o una muy buena estrategia.	Resulta incompatible aseverar que el comportamiento racional implica	considerar que el azar está ausente en una confrontación.	pensar diligentemente antes de tomar un curso de acción.	ser plenamente consciente de todos nuestros objetivos.	conocer con antelación las limitaciones y las restricciones.	imaginar lo que el enemigo puede hacer en cierto momento.	A	El autor asume la presencia del azar , el cual debe ser manejado prudentemente.
Podemos diseñar la interacción con otras personas, que propondrán situaciones que deberemos imaginar y contrarrestar, y, a la vez, nosotros ofreceremos las nuestras tratando de ganar. Si se tratara de un partido de fútbol, el director técnico rival es el que preparará las jugadas que piensa servirán para contrarrestar las jugadas que él cree que nosotros presentaremos en el transcurso de un partido. Por supuesto, así como tenemos que considerar qué es lo que el otro está pensando, él, a su vez, tiene que considerar lo que nosotros estamos pensando. La teoría de juegos es la ciencia que estudia cómo optimizar ese tipo de toma de decisiones de acuerdo con un comportamiento racional. Uno puede decir que actúa con racionalidad cuando':' piensa cuidadosamente antes de actuar; es consciente de sus objetivos y preferencias; conoce sus limitaciones; sabe cuáles son las restricciones; elige sus acciones de forma calculada para conseguir lo mejor de acuerdo con su criterio. Esta teoría no sostiene que enseñará los secretos de cómo jugar “a la perfección”, ni garantiza que uno nunca va a perder. Ni siquiera tendría sentido pensarlo así, teniendo en cuenta que tanto nosotros como nuestro oponente podríamos estar leyendo el mismo libro, usando las mismas herramientas, y ambos no podemos ganar al mismo tiempo. Pero, más allá de esta obviedad, lo más importante es advertir que la mayoría de estos juegos son bastantes complejos y sutiles, y la mayoría de las situaciones involucra decisiones basadas en la idiosincrasia de las personas o en elementos azarosos; por lo tanto, la teoría de juegos no puede (así como ninguna otra teoría podría hacerlo) ofrecer una receta infalible para el éxito. Lo que sí provee son algunos principios generales para aprender a interactuar con una estrategia. Uno tiene que complementar esas ideas y esos métodos de cálculo con tantos detalles como le sea posible, de manera tal que se deje al azar lo menos posible, y de esa forma diseñar la mejor estrategia, o una muy buena estrategia.	Si un técnico quisiera aplicar la teoría de juegos en su labor, probablemente	dejaría de lado la forma de pensar del contrario por ser insignificante.	se concentraría únicamente en preparar a los miembros de su equipo.	pensaría solo en situaciones en las que el marcador le es favorable.	seguiría una sola estrategia durante el juego a pesar de la derrota.	solicitaría videos del equipo contrincante para estudiar sus jugadas.	E	Esa acción involucra pensar lo que el enemigo haría en ciertas circunstancias y estaría acorde con el comportamiento racional.
¿Cuál es la invención más estupenda? Presumiblemente, distintos especialistas darán respuestas diferentes a esta pregunta. Para averiguarlas emprenderemos un viaje imaginario':' Nuestro primer historiador opinó que la mayor invención había sido la agricultura, ya que había librado a las personas de los azares de la recolección y de la caza, y había permitido la primera explosión demográfica. Pero el historiador del despacho contiguo sostuvo que, si bien la agricultura había sido una innovación excepcional, palidecía al lado de la ciudad. Con esta vinieron el Estado, la escritura, la escuela, las artesanías avanzadas y, desde luego, también las epidemias':' en suma, la civilización. Un lingüista afirmó que la invención más estupenda es la palabra, ya que con esta nos comunicamos y, por añadidura, nos ayuda a pensar. Su colega sostuvo que la palabra aislada palidece al lado de la oración, que tiene sintaxis y que se sujeta a reglas gramaticales. Un psicólogo cognitivo nos dijo que el raciocinio es la mayor invención, ya que nos ayuda a ganarnos la vida y a coexistir con el prójimo. Un matemático sostuvo que la invención del número entero les gana a todas las demás. Primero, porque el número es una herramienta útil en la vida diaria. Y segundo, porque la idea de número en sí mismo (a diferencia del número de piedras, flechas o personas) es una idea abstracta. El físico opinó que la invención más estupenda fue la de la balanza, presumiblemente el primer instrumento de medición. Su colega teórico admitió la excelencia de la balanza, pero sostuvo que la mera idea general de propiedad medible lo es aun más. El químico votó por la cocción de alimentos, puesto que involucra reacciones químicas. Otro químico sostuvo que eso no fue nada en comparación con la síntesis artificial de moléculas. Llegados a este punto dimos por terminado nuestro viaje imaginario, porque recogimos más respuestas que especialidades. Este es un resultado insatisfactorio, porque no todas ellas pueden ser verdaderas al mismo tiempo. Sin embargo, es preciso reconocer que cada una de ellas contiene un grano de verdad. La respuesta que contiene todos los granos de verdad en cuestión es esta':' la invención más estupenda es el ser humano. Los seres humanos no solo somos producto de una larga cadena de invenciones, sino que cada uno de nosotros se inventa a sí mismo. Mas aun, nos reinventamos de tanto en tanto al cambiar de trabajo, de profesión, o simplemente de gustos y de amigos. El ser humano es el único animal que se inventa a sí mismo, y que lo hace cuantas veces necesite para sobrevivir, para sentirse útil, o para no aburrirse. ¿No es esto lo más estupendo de la vida humana?	El vocablo PALIDECÍA implica	debilidad.	turbación.	depreciación.	lividez.	pasmo.	C	Según el segundo historiador, la agricultura pierde su valor al lado de la ciudad.
